game_id,treatment,cohort_id,round,player1_id,player2_id,player1_choice,player2_choice,player1_payout,player2_payout
1,0.6,1,1,101,105,X,Y,0,42
2,0.6,1,1,102,106,X,Y,0,42
3,0.6,1,1,103,107,X,Y,0,42
4,0.6,1,1,104,108,Y,X,42,0
5,0.6,1,2,101,106,X,X,45,45
6,0.6,1,2,105,103,X,X,45,45
7,0.6,1,2,102,107,X,Y,0,42
8,0.6,1,2,104,108,Y,Y,12,12
9,0.6,1,3,101,107,Y,Y,12,12
10,0.6,1,3,105,104,X,Y,0,42
11,0.6,1,3,102,108,X,Y,0,42
12,0.6,1,3,103,106,X,Y,0,42
13,0.6,1,4,101,104,Y,Y,12,12
14,0.6,1,4,105,107,X,X,45,45
15,0.6,1,4,102,106,Y,X,42,0
16,0.6,1,4,103,108,X,X,45,45
17,0.6,1,5,101,102,X,X,45,45
18,0.6,1,5,105,108,X,X,45,45
19,0.6,1,5,103,104,X,Y,0,42
20,0.6,1,5,106,107,Y,X,42,0
21,0.6,1,6,101,108,X,X,45,45
22,0.6,1,6,105,106,X,Y,0,42
23,0.6,1,6,102,104,X,Y,0,42
24,0.6,1,6,103,107,X,X,45,45
25,0.6,1,7,101,108,X,X,45,45
26,0.6,1,7,105,107,Y,X,42,0
27,0.6,1,7,102,104,Y,Y,12,12
28,0.6,1,7,103,106,Y,Y,12,12
29,0.6,1,8,101,104,X,Y,0,42
30,0.6,1,8,105,108,X,X,45,45
31,0.6,1,8,102,106,Y,Y,12,12
32,0.6,1,8,103,107,X,Y,0,42
33,0.6,1,9,101,105,X,X,45,45
34,0.6,1,9,102,106,Y,Y,12,12
35,0.6,1,9,103,104,X,Y,0,42
36,0.6,1,9,107,108,Y,X,42,0
37,0.6,1,10,101,105,X,Y,0,42
38,0.6,1,10,102,107,X,Y,0,42
39,0.6,1,10,103,104,Y,Y,12,12
40,0.6,1,10,106,108,Y,Y,12,12
41,0.6,1,11,101,108,Y,Y,12,12
42,0.6,1,11,105,107,X,Y,0,42
43,0.6,1,11,102,104,Y,Y,12,12
44,0.6,1,11,103,106,X,Y,0,42
45,0.6,1,12,101,104,X,Y,0,42
46,0.6,1,12,105,103,X,Y,0,42
47,0.6,1,12,102,108,Y,X,42,0
48,0.6,1,12,106,107,Y,Y,12,12
49,0.6,1,13,101,108,X,Y,0,42
50,0.6,1,13,105,102,X,X,45,45
51,0.6,1,13,103,104,Y,Y,12,12
52,0.6,1,13,106,107,Y,Y,12,12
53,0.6,1,14,101,105,Y,Y,12,12
54,0.6,1,14,102,108,Y,X,42,0
55,0.6,1,14,103,107,X,Y,0,42
56,0.6,1,14,104,106,Y,Y,12,12
57,0.6,1,15,101,105,Y,Y,12,12
58,0.6,1,15,102,106,X,Y,0,42
59,0.6,1,15,103,104,X,Y,0,42
60,0.6,1,15,107,108,Y,X,42,0
61,0.6,1,16,101,106,X,Y,0,42
62,0.6,1,16,105,108,Y,Y,12,12
63,0.6,1,16,102,104,X,Y,0,42
64,0.6,1,16,103,107,X,Y,0,42
65,0.6,1,17,101,107,Y,Y,12,12
66,0.6,1,17,105,106,X,Y,0,42
67,0.6,1,17,102,104,Y,Y,12,12
68,0.6,1,17,103,108,X,X,45,45
69,0.6,1,18,101,106,Y,Y,12,12
70,0.6,1,18,105,102,Y,Y,12,12
71,0.6,1,18,103,104,X,Y,0,42
72,0.6,1,18,107,108,Y,X,42,0
73,0.6,1,19,101,105,Y,Y,12,12
74,0.6,1,19,102,104,Y,Y,12,12
75,0.6,1,19,103,107,X,Y,0,42
76,0.6,1,19,106,108,Y,X,42,0
77,0.6,1,20,101,103,Y,X,42,0
78,0.6,1,20,105,108,Y,Y,12,12
79,0.6,1,20,102,107,Y,Y,12,12
80,0.6,1,20,104,106,Y,Y,12,12
81,0.6,1,21,101,105,X,Y,0,42
82,0.6,1,21,102,104,X,Y,0,42
83,0.6,1,21,103,108,X,Y,0,42
84,0.6,1,21,106,107,Y,Y,12,12
85,0.6,1,22,101,107,Y,Y,12,12
86,0.6,1,22,105,106,Y,Y,12,12
87,0.6,1,22,102,103,X,Y,0,42
88,0.6,1,22,104,108,Y,Y,12,12
89,0.6,1,23,101,102,X,X,45,45
90,0.6,1,23,105,104,Y,Y,12,12
91,0.6,1,23,103,107,Y,Y,12,12
92,0.6,1,23,106,108,Y,Y,12,12
93,0.6,1,24,101,104,X,Y,0,42
94,0.6,1,24,105,108,Y,Y,12,12
95,0.6,1,24,102,106,X,Y,0,42
96,0.6,1,24,103,107,Y,Y,12,12
97,0.6,1,25,101,105,X,Y,0,42
98,0.6,1,25,102,103,X,Y,0,42
99,0.6,1,25,104,107,Y,X,42,0
