game_id,treatment,cohort_id,round,player1_id,player2_id,player1_choice,player2_choice,player1_payout,player2_payout
1,0.6,1,1,229,198,R,R,45,45
2,0.6,1,1,109,190,R,B,0,42
3,0.6,1,1,280,138,R,B,0,42
4,0.6,1,1,290,224,B,B,12,12
5,0.6,1,2,224,290,B,B,12,12
6,0.6,1,2,198,109,B,R,42,0
7,0.6,1,2,229,138,B,B,12,12
8,0.6,1,2,280,190,R,B,0,42
9,0.6,1,3,229,198,R,R,45,45
10,0.6,1,3,280,190,R,R,45,45
11,0.6,1,3,290,224,B,R,42,0
12,0.6,1,3,138,109,B,R,42,0
13,0.6,1,4,109,229,R,B,0,42
14,0.6,1,4,280,138,R,R,45,45
15,0.6,1,4,190,224,R,B,0,42
16,0.6,1,4,290,198,B,B,12,12
17,0.6,1,5,138,290,R,B,0,42
18,0.6,1,5,229,190,R,B,0,42
19,0.6,1,5,109,198,R,R,45,45
20,0.6,1,5,224,280,R,R,45,45
21,0.6,1,6,229,224,B,R,42,0
22,0.6,1,6,280,190,R,B,0,42
23,0.6,1,6,138,198,B,B,12,12
24,0.6,1,6,290,109,B,R,42,0
25,0.6,1,7,224,229,B,R,42,0
26,0.6,1,7,138,290,B,B,12,12
27,0.6,1,7,280,198,B,R,42,0
28,0.6,1,7,190,109,B,R,42,0
29,0.6,1,8,280,224,R,B,0,42
30,0.6,1,8,198,109,B,R,42,0
31,0.6,1,8,229,190,B,B,12,12
32,0.6,1,8,290,138,B,R,42,0
33,0.6,1,9,138,109,B,R,42,0
34,0.6,1,9,190,290,R,B,0,42
35,0.6,1,9,229,280,B,B,12,12
36,0.6,1,9,224,198,R,R,45,45
37,0.6,1,10,229,190,B,B,12,12
38,0.6,1,10,109,224,R,R,45,45
39,0.6,1,10,280,290,B,B,12,12
40,0.6,1,10,138,198,R,B,0,42
41,0.6,1,11,224,280,R,B,0,42
42,0.6,1,11,229,198,B,R,42,0
43,0.6,1,11,109,190,R,R,45,45
44,0.6,1,11,290,138,B,B,12,12
45,0.6,1,12,138,198,R,B,0,42
46,0.6,1,12,224,290,B,B,12,12
47,0.6,1,12,280,190,R,B,0,42
48,0.6,1,12,109,229,R,B,0,42
49,0.6,1,13,198,280,R,B,0,42
50,0.6,1,13,138,224,B,B,12,12
51,0.6,1,13,190,229,B,B,12,12
52,0.6,1,13,290,109,B,R,42,0
53,0.6,1,14,109,138,R,R,45,45
54,0.6,1,14,229,290,B,B,12,12
55,0.6,1,14,198,190,B,R,42,0
56,0.6,1,14,224,280,B,R,42,0
57,0.6,1,15,229,109,B,R,42,0
58,0.6,1,15,198,224,B,B,12,12
59,0.6,1,15,280,138,B,B,12,12
60,0.6,1,15,190,290,B,B,12,12
61,0.6,1,16,290,138,B,R,42,0
62,0.6,1,16,280,190,R,R,45,45
63,0.6,1,16,109,198,R,R,45,45
64,0.6,1,16,229,224,B,B,12,12
65,0.6,1,17,224,109,B,R,42,0
66,0.6,1,17,290,190,B,B,12,12
67,0.6,1,17,198,280,B,B,12,12
68,0.6,1,17,229,138,B,B,12,12
69,0.6,1,18,198,109,R,R,45,45
70,0.6,1,18,138,224,R,R,45,45
71,0.6,1,18,280,190,R,R,45,45
72,0.6,1,18,290,229,B,B,12,12
73,0.6,1,19,224,138,R,B,0,42
74,0.6,1,19,280,198,B,B,12,12
75,0.6,1,19,229,109,B,R,42,0
76,0.6,1,19,290,190,B,B,12,12
77,0.6,1,20,280,224,R,B,0,42
78,0.6,1,20,138,290,R,B,0,42
79,0.6,1,20,198,190,R,R,45,45
80,0.6,1,20,109,229,R,B,0,42
81,0.6,1,21,198,138,B,B,12,12
82,0.6,1,21,290,190,R,B,0,42
83,0.6,1,21,109,229,R,B,0,42
84,0.6,1,21,224,280,R,B,0,42
85,0.6,1,22,229,290,B,B,12,12
86,0.6,1,22,280,198,R,R,45,45
87,0.6,1,22,109,138,R,R,45,45
88,0.6,1,22,224,190,B,B,12,12
89,0.6,1,23,138,109,B,R,42,0
90,0.6,1,23,224,198,B,B,12,12
91,0.6,1,23,190,280,R,B,0,42
92,0.6,1,23,290,229,B,B,12,12
93,0.6,1,24,190,224,B,B,12,12
94,0.6,1,24,280,290,R,B,0,42
95,0.6,1,24,229,138,B,R,42,0
96,0.6,1,24,198,109,R,R,45,45
97,0.6,1,25,280,229,B,B,12,12
98,0.6,1,25,198,224,B,B,12,12
99,0.6,1,25,290,109,R,R,45,45
100,0.6,1,25,190,138,R,B,0,42
101,0.6,1,26,190,198,B,R,42,0
102,0.6,1,26,109,280,R,R,45,45
103,0.6,1,26,224,290,B,R,42,0
104,0.6,1,26,138,229,R,B,0,42
105,0.6,1,27,290,109,B,R,42,0
106,0.6,1,27,229,198,B,B,12,12
107,0.6,1,27,138,190,B,B,12,12
108,0.6,1,27,224,280,R,B,0,42
109,0.6,1,28,138,190,B,R,42,0
110,0.6,1,28,109,224,R,B,0,42
111,0.6,1,28,229,280,B,R,42,0
112,0.6,1,28,290,198,R,R,45,45
113,0.6,1,29,280,138,B,R,42,0
114,0.6,1,29,229,224,B,R,42,0
115,0.6,1,29,198,109,B,R,42,0
116,0.6,1,29,290,190,R,B,0,42
117,0.6,1,30,138,109,B,R,42,0
118,0.6,1,30,229,224,B,R,42,0
119,0.6,1,30,280,198,R,B,0,42
120,0.6,1,30,190,290,B,B,12,12
121,0.6,1,31,229,224,B,B,12,12
122,0.6,1,31,290,198,B,B,12,12
123,0.6,1,31,138,109,R,R,45,45
124,0.6,1,31,280,190,B,R,42,0
125,0.6,1,32,138,198,R,R,45,45
126,0.6,1,32,109,290,R,B,0,42
127,0.6,1,32,229,280,B,R,42,0
128,0.6,1,32,224,190,R,B,0,42
129,0.6,1,33,280,198,B,B,12,12
130,0.6,1,33,190,138,B,R,42,0
131,0.6,1,33,109,229,R,B,0,42
132,0.6,1,33,224,290,B,R,42,0
133,0.6,1,34,198,224,R,R,45,45
134,0.6,1,34,190,138,B,B,12,12
135,0.6,1,34,109,290,R,B,0,42
136,0.6,1,34,229,280,B,R,42,0
137,0.6,1,35,280,198,B,B,12,12
138,0.6,1,35,224,138,B,R,42,0
139,0.6,1,35,109,190,R,R,45,45
140,0.6,1,35,229,290,B,R,42,0
141,0.6,1,36,224,198,R,R,45,45
142,0.6,1,36,229,290,B,B,12,12
143,0.6,1,36,280,190,R,R,45,45
144,0.6,1,36,138,109,B,R,42,0
145,0.6,1,37,198,138,B,B,12,12
146,0.6,1,37,224,190,B,R,42,0
147,0.6,1,37,229,280,B,B,12,12
148,0.6,1,37,109,290,R,B,0,42
149,0.6,1,38,280,138,R,R,45,45
150,0.6,1,38,109,224,R,R,45,45
151,0.6,1,38,229,290,B,R,42,0
152,0.6,1,38,198,190,R,B,0,42
153,0.6,1,39,198,138,B,R,42,0
154,0.6,1,39,224,280,B,B,12,12
155,0.6,1,39,190,229,B,B,12,12
156,0.6,1,39,290,109,B,R,42,0
157,0.6,1,40,280,190,R,R,45,45
158,0.6,1,40,229,138,B,B,12,12
159,0.6,1,40,109,198,R,B,0,42
160,0.6,1,40,290,224,R,R,45,45
161,0.6,1,41,138,229,R,B,0,42
162,0.6,1,41,280,224,B,B,12,12
163,0.6,1,41,190,109,R,R,45,45
164,0.6,1,41,198,290,B,R,42,0
165,0.6,1,42,280,109,R,B,0,42
166,0.6,1,42,198,190,B,R,42,0
167,0.6,1,42,138,229,B,B,12,12
168,0.6,1,42,290,224,B,R,42,0
169,0.6,1,43,280,190,B,B,12,12
170,0.6,1,43,138,229,R,B,0,42
171,0.6,1,43,109,290,B,R,42,0
172,0.6,1,43,198,224,B,R,42,0
173,0.6,1,44,280,190,R,R,45,45
174,0.6,1,44,229,290,B,B,12,12
175,0.6,1,44,109,198,B,B,12,12
176,0.6,1,44,224,138,R,B,0,42
177,0.6,1,45,138,280,R,B,0,42
178,0.6,1,45,198,224,R,B,0,42
179,0.6,1,45,229,109,B,R,42,0
180,0.6,1,45,190,290,R,B,0,42
181,0.6,1,46,109,229,R,B,0,42
182,0.6,1,46,224,290,B,R,42,0
183,0.6,1,46,280,138,R,B,0,42
184,0.6,1,46,198,190,B,B,12,12
185,0.6,1,47,190,224,R,R,45,45
186,0.6,1,47,229,290,B,B,12,12
187,0.6,1,47,138,280,R,B,0,42
188,0.6,1,47,198,109,R,R,45,45
189,0.6,1,48,224,280,B,R,42,0
190,0.6,1,48,138,109,B,B,12,12
191,0.6,1,48,290,198,B,B,12,12
192,0.6,1,48,229,190,B,R,42,0
193,0.6,1,49,290,109,B,R,42,0
194,0.6,1,49,224,280,B,B,12,12
195,0.6,1,49,138,198,R,R,45,45
196,0.6,1,49,190,229,B,B,12,12
197,0.6,1,50,198,190,B,R,42,0
198,0.6,1,50,138,109,B,R,42,0
199,0.6,1,50,290,224,R,R,45,45
200,0.6,1,50,280,229,R,B,0,42
201,0.6,1,51,290,280,R,B,0,42
202,0.6,1,51,190,198,B,R,42,0
203,0.6,1,51,109,138,R,R,45,45
204,0.6,1,51,229,224,B,B,12,12
205,0.6,1,52,290,109,B,B,12,12
206,0.6,1,52,198,280,B,R,42,0
207,0.6,1,52,229,138,B,B,12,12
208,0.6,1,52,190,224,B,R,42,0
209,0.6,1,53,109,190,R,B,0,42
210,0.6,1,53,198,280,R,B,0,42
211,0.6,1,53,290,138,B,B,12,12
212,0.6,1,53,224,229,B,B,12,12
213,0.6,1,54,198,290,B,B,12,12
214,0.6,1,54,229,280,B,R,42,0
215,0.6,1,54,138,190,R,B,0,42
216,0.6,1,54,224,109,R,R,45,45
217,0.6,1,55,224,229,B,B,12,12
218,0.6,1,55,290,109,B,B,12,12
219,0.6,1,55,190,280,B,B,12,12
220,0.6,1,55,198,138,R,B,0,42
221,0.6,1,56,290,109,B,R,42,0
222,0.6,1,56,198,224,B,R,42,0
